DataSeries,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Total Casualties Injured,9342,8941,8441,7240,6669,9833,10018,9953,10687,10412,9858,9751,10253,10611,11328,10886,10760,10352,9706,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pedestrians,843,841,659,605,642,979,877,903,1065,973,883,989,1069,1049,1057,1073,1114,1036,924,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Personal Mobility Device Users,81,71,53,46,51,197,162,95,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cyclists & Pillions,593,558,724,763,563,452,499,589,594,606,503,436,442,513,562,569,585,519,493,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Motor Cyclists & Pillion Riders,4425,4235,4229,3693,3381,5010,4839,4803,5102,4928,4634,4383,4800,5003,5490,5304,5218,5358,4943,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Motor Cars And Station Wagons,2371,2304,1949,1445,1446,2289,2537,2485,2698,2746,2686,2811,2782,2982,2839,2794,2562,2320,2306,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Goods Vans & Pick-Ups,218,231,187,192,163,159,180,199,235,219,193,226,234,258,282,278,304,265,222,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Goods Vans,215,220,180,181,156,147,171,196,224,203,185,206,213,240,258,253,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pick-Ups,3,11,7,11,7,12,9,3,11,16,8,20,21,18,24,25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Lorries, Tipper Trucks & Trailers",491,474,379,345,243,449,547,524,540,554,578,647,574,531,580,472,525,463,392,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Lorries,469,449,351,321,226,416,500,497,493,514,520,586,526,486,555,430,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tipper Trucks,15,14,12,15,10,20,32,21,32,29,38,40,35,33,17,24,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Trailers,7,11,16,9,7,13,15,6,15,11,20,21,13,12,8,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Buses,295,203,238,128,168,276,350,333,415,358,342,243,320,245,481,361,329,298,303,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Others,25,24,23,23,12,22,27,22,38,28,39,16,32,30,37,35,123,93,123,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
