year,road_type,road_length
2005,Expressway,150
2005,Arterial Road,594
2005,Collector Road,455
2005,Local Road,2036
2006,Expressway,150
2006,Arterial Road,604
2006,Collector Road,468
2006,Local Road,2040
2007,Expressway,153
2007,Arterial Road,613
2007,Collector Road,489
2007,Local Road,2042
2008,Expressway,161
2008,Arterial Road,621
2008,Collector Road,500
2008,Local Road,2043
2009,Expressway,161
2009,Arterial Road,627
2009,Collector Road,521
2009,Local Road,2046
2010,Expressway,161
2010,Arterial Road,627
2010,Collector Road,521
2010,Local Road,2047
2011,Expressway,161
2011,Arterial Road,645
2011,Collector Road,557
2011,Local Road,2048
2012,Expressway,161
2012,Arterial Road,652
2012,Collector Road,561
2012,Local Road,2051
2013,Expressway,164
2013,Arterial Road,662
2013,Collector Road,571
2013,Local Road,2055
2014,Expressway,164
2014,Arterial Road,698
2014,Collector Road,578
2014,Local Road,2055
2015,Expressway,164
2015,Arterial Road,699
2015,Collector Road,580
2015,Local Road,2057
2016,Expressway,164
2016,Arterial Road,704
2016,Collector Road,585
2016,Local Road,2059
2017,Expressway,164
2017,Arterial Road,704
2017,Collector Road,576
2017,Local Road,2056
2018,Expressway,164
2018,Arterial Road,708
2018,Collector Road,583
2018,Local Road,2060
2019,Expressway,164
2019,Arterial Road,709
2019,Collector Road,585
2019,Local Road,2062
2020,Expressway,164
2020,Arterial Road,712
2020,Collector Road,585
2020,Local Road,2064
2021,Expressway,164
2021,Arterial Road,712
2021,Collector Road,589
2021,Local Road,2066
2022,Expressway,167
2022,Arterial Road,718
2022,Collector Road,595
2022,Local Road,2066
2023,Expressway,171
2023,Arterial Road,721
2023,Collector Road,602
2023,Local Road,2068
2024,Expressway,171
2024,Arterial Road,784
2024,Collector Road,609
2024,Local Road,2069
